SA2_code_usual_residence_address,SA2_name_usual_residence_address,SA2_code_other_address,SA2_name_other_address,At_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,School_bus,Train,Bicycle,Walk_or_jog,Ferry,other,Total
100100,North Cape,100100,North Cape,27,0,0,45,0,60,0,0,12,0,0,147
100200,Rangaunu Harbour,100200,Rangaunu Harbour,54,0,0,42,0,42,0,0,0,0,0,147
100400,Karikari Peninsula,100400,Karikari Peninsula,12,0,0,18,0,24,0,0,0,0,0,54
100500,Tangonge,100500,Tangonge,15,0,0,12,0,15,0,0,0,0,0,45
100600,Ahipara,100600,Ahipara,9,0,0,9,0,0,0,0,0,0,0,27
100700,Kaitaia East,100700,Kaitaia East,27,9,0,30,0,27,0,0,21,0,0,120
100800,Kaitaia West,100800,Kaitaia West,60,9,0,99,0,0,0,0,99,0,0,276
100900,Rangitihi,100900,Rangitihi,27,0,0,6,0,15,0,0,0,0,0,48
101000,Oruru-Parapara,101000,Oruru-Parapara,18,0,0,0,0,0,0,0,0,0,0,18
101100,Taumarumaru,101100,Taumarumaru,27,0,0,45,0,27,0,0,15,0,0,114
101200,Herekino-Takahue,101200,Herekino-Takahue,12,0,0,0,0,9,0,0,0,0,0,24
101300,Peria,101300,Peria,18,0,0,0,0,15,0,0,0,0,0,39
101400,Taemaro-Oruaiti,101400,Taemaro-Oruaiti,18,0,0,9,0,0,0,0,0,0,0,33
101500,Whakapaku,101500,Whakapaku,15,0,0,15,0,0,0,0,0,0,0,27
101600,Hokianga North,101600,Hokianga North,0,0,0,6,0,30,0,0,0,0,0,51
101700,Kohukohu-Broadwood,101700,Kohukohu-Broadwood,18,0,0,9,0,24,0,0,6,0,0,57
101800,Whakarara,101800,Whakarara,18,0,0,9,0,18,0,0,12,0,0,60
101900,Kaeo,101900,Kaeo,27,0,0,15,0,24,0,0,0,0,0,78
102000,Omahuta Forest-Horeke,102000,Omahuta Forest-Horeke,18,0,0,6,0,12,0,0,0,0,0,42
102100,Hokianga South,102100,Hokianga South,18,0,0,12,0,12,0,0,15,0,0,63
102200,Lake Manuwai-Kapiro,102200,Lake Manuwai-Kapiro,27,0,0,12,0,0,0,0,0,0,0,39
102300,Okaihau,102300,Okaihau,18,0,0,12,0,48,0,0,27,0,0,111
102400,Rangitane-Purerua,102400,Rangitane-Purerua,30,0,0,12,0,12,0,0,0,0,0,54
102500,Waipapa,102500,Waipapa,18,0,0,0,0,0,0,0,0,0,0,18
102600,Puketotara,102600,Puketotara,33,0,0,21,0,0,0,0,0,0,0,63
102700,Waima Forest,102700,Waima Forest,15,0,0,0,0,0,0,0,0,0,0,27
102800,Riverview,102800,Riverview,27,0,0,75,0,0,0,9,27,0,0,138
102900,Waipoua Forest,102900,Waipoua Forest,21,0,0,15,0,27,0,0,0,0,0,66
103000,Kerikeri Central,103000,Kerikeri Central,30,0,0,87,0,0,0,9,114,0,0,252
103100,Kerikeri South,103100,Kerikeri South,48,0,0,0,0,0,0,0,0,0,0,48
103200,Ohaeawai-Waimate North,103200,Ohaeawai-Waimate North,15,0,0,27,0,6,0,0,0,0,0,54
103300,Puketona-Waitangi,103300,Puketona-Waitangi,18,0,0,21,0,0,0,0,0,0,0,42
103400,Ngapuhi,103400,Ngapuhi,30,0,0,0,0,0,0,0,0,0,0,30
103500,Kaikohe,103500,Kaikohe,69,27,0,189,0,0,0,0,204,0,6,504
103600,Pakaraka,103600,Pakaraka,18,0,0,0,0,0,0,0,0,0,0,24
103700,Haruru,103700,Haruru,21,0,0,0,0,0,0,0,0,0,0,24
103800,Russell,103800,Russell,12,0,0,12,0,0,0,0,18,0,0,45
103900,Paihia,103900,Paihia,18,0,0,15,0,18,0,0,15,0,0,66
104000,Mataraua Forest,104000,Mataraua Forest,9,0,0,0,0,18,0,0,0,0,0,27
104100,Matawaia-Taumarere,104100,Matawaia-Taumarere,12,0,0,0,0,0,0,0,0,0,0,12
104200,Russell Peninsula,104200,Russell Peninsula,6,0,0,0,0,0,0,0,0,0,0,6
104300,Opua (Far North District),104300,Opua (Far North District),18,0,0,24,0,0,0,0,0,0,0,42
104400,Russell Forest-Rawhiti,104400,Russell Forest-Rawhiti,9,0,0,0,0,9,0,0,0,0,0,30
104500,Moerewa,104500,Moerewa,27,0,0,30,0,9,0,0,36,0,0,105
104600,Kawakawa,104600,Kawakawa,24,0,0,42,0,6,0,0,60,0,0,138
104700,Maromaku,104700,Maromaku,18,0,0,15,0,18,0,0,0,0,0,57
104800,Mangakahia-Hukerenui,104800,Mangakahia-Hukerenui,42,0,0,12,0,57,0,0,6,0,0,114
104900,Whangaruru,104900,Whangaruru,51,0,0,6,0,45,0,0,9,0,0,111
105100,Matarau,105100,Matarau,60,0,0,96,0,51,0,0,6,0,0,216
105200,Hikurangi,105200,Hikurangi,18,0,0,51,0,0,0,12,51,0,0,132
105300,Kauri,105300,Kauri,12,0,0,63,0,0,0,0,6,0,0,84
105400,Maungatapere,105400,Maungatapere,66,0,0,180,0,78,0,0,27,0,0,351
105500,Kamo West,105500,Kamo West,27,0,0,51,0,0,0,0,36,0,0,117
105600,Matapouri-Tutukaka,105600,Matapouri-Tutukaka,30,0,0,0,0,0,0,0,0,0,0,30
105700,Kiripaka,105700,Kiripaka,15,0,0,15,0,0,0,0,0,0,0,36
105800,Kamo East,105800,Kamo East,42,0,0,63,0,0,0,0,24,0,0,126
105900,Granfield Reserve,105900,Granfield Reserve,48,0,0,27,0,0,0,0,15,0,0,90
106000,Kamo Central,106000,Kamo Central,24,0,0,12,0,0,0,0,57,0,0,93
