SA2_code_usual_residence_address,SA2_name_usual_residence_address,SA2_code_other_address,SA2_name_other_address,At_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,School_bus,Train,Bicycle,Walk_or_jog,Ferry,other,Total
100100,North Cape,100100,North Cape,144,117,33,9,0,0,0,0,21,0,6,330
100200,Rangaunu Harbour,100200,Rangaunu Harbour,210,93,24,15,0,0,0,0,12,0,0,354
100400,Karikari Peninsula,100400,Karikari Peninsula,102,54,6,6,0,0,0,0,0,0,0,177
100500,Tangonge,100500,Tangonge,123,30,9,0,0,0,0,0,0,0,0,168
100600,Ahipara,100600,Ahipara,63,18,0,0,0,0,0,0,0,0,0,90
100700,Kaitaia East,100700,Kaitaia East,120,171,36,21,0,0,0,0,36,0,0,393
100800,Kaitaia West,100800,Kaitaia West,114,114,9,6,0,0,0,0,27,0,0,273
100900,Rangitihi,100900,Rangitihi,81,12,0,0,0,0,0,0,0,0,0,99
101000,Oruru-Parapara,101000,Oruru-Parapara,75,15,0,0,0,0,0,0,0,0,0,99
101100,Taumarumaru,101100,Taumarumaru,159,147,15,18,0,0,0,0,21,0,0,366
101200,Herekino-Takahue,101200,Herekino-Takahue,105,18,0,0,0,0,0,0,0,0,0,126
101300,Peria,101300,Peria,111,0,0,0,0,0,0,0,0,0,0,120
101400,Taemaro-Oruaiti,101400,Taemaro-Oruaiti,87,0,0,0,0,0,0,0,0,0,0,99
101500,Whakapaku,101500,Whakapaku,81,15,6,0,0,0,0,0,0,0,0,114
101600,Hokianga North,101600,Hokianga North,63,24,0,0,0,0,0,0,0,0,0,90
101700,Kohukohu-Broadwood,101700,Kohukohu-Broadwood,84,15,0,0,0,0,0,0,0,0,0,108
101800,Whakarara,101800,Whakarara,150,63,0,0,0,0,0,0,6,0,0,225
101900,Kaeo,101900,Kaeo,111,66,9,9,0,0,0,0,0,0,0,204
102000,Omahuta Forest-Horeke,102000,Omahuta Forest-Horeke,114,21,0,0,0,0,0,0,0,0,0,141
102100,Hokianga South,102100,Hokianga South,96,60,12,0,0,0,0,0,15,0,0,192
102200,Lake Manuwai-Kapiro,102200,Lake Manuwai-Kapiro,231,48,21,0,0,0,0,0,9,0,0,312
102300,Okaihau,102300,Okaihau,135,24,6,0,0,0,0,0,15,0,0,192
102400,Rangitane-Purerua,102400,Rangitane-Purerua,150,24,9,0,0,0,0,0,0,0,0,186
102500,Waipapa,102500,Waipapa,78,18,12,0,0,0,0,0,0,0,0,126
102600,Puketotara,102600,Puketotara,222,30,21,0,0,0,0,0,15,0,0,291
102700,Waima Forest,102700,Waima Forest,60,9,0,0,0,0,0,0,0,0,0,78
102800,Riverview,102800,Riverview,171,33,9,0,0,0,0,0,0,0,0,222
102900,Waipoua Forest,102900,Waipoua Forest,132,90,9,9,0,0,0,0,9,0,0,246
103000,Kerikeri Central,103000,Kerikeri Central,135,177,33,9,0,0,0,0,90,0,0,447
103100,Kerikeri South,103100,Kerikeri South,243,45,15,6,0,0,0,0,12,0,0,324
103200,Ohaeawai-Waimate North,103200,Ohaeawai-Waimate North,132,21,15,0,0,0,0,0,0,0,0,174
103300,Puketona-Waitangi,103300,Puketona-Waitangi,159,27,9,0,0,0,0,0,9,0,6,213
103400,Ngapuhi,103400,Ngapuhi,99,21,12,0,0,0,0,0,0,0,0,138
103500,Kaikohe,103500,Kaikohe,102,303,30,27,0,0,0,0,72,0,0,540
103600,Pakaraka,103600,Pakaraka,78,6,0,0,0,0,0,0,0,0,0,93
103700,Haruru,103700,Haruru,87,18,9,0,0,0,0,0,0,0,0,120
103800,Russell,103800,Russell,93,66,12,6,0,0,0,0,42,0,0,222
103900,Paihia,103900,Paihia,189,93,21,0,0,0,0,0,90,0,0,402
104000,Mataraua Forest,104000,Mataraua Forest,57,9,0,0,0,0,0,0,0,0,6,78
104100,Matawaia-Taumarere,104100,Matawaia-Taumarere,111,12,9,0,0,0,0,0,0,0,0,138
104200,Russell Peninsula,104200,Russell Peninsula,72,9,0,0,0,0,0,0,0,0,0,93
104300,Opua (Far North District),104300,Opua (Far North District),90,42,15,0,0,0,0,0,0,0,0,150
104400,Russell Forest-Rawhiti,104400,Russell Forest-Rawhiti,42,15,0,0,0,0,0,0,0,0,0,69
104500,Moerewa,104500,Moerewa,39,69,0,15,0,0,0,0,15,0,0,141
104600,Kawakawa,104600,Kawakawa,39,60,6,0,0,0,0,0,30,0,0,144
104700,Maromaku,104700,Maromaku,141,9,0,0,0,0,0,0,6,0,6,171
104800,Mangakahia-Hukerenui,104800,Mangakahia-Hukerenui,306,54,15,0,0,0,0,0,12,0,24,414
104900,Whangaruru,104900,Whangaruru,324,78,18,0,0,0,0,0,12,0,6,441
105100,Matarau,105100,Matarau,285,33,30,0,0,0,0,0,0,0,0,357
105200,Hikurangi,105200,Hikurangi,72,27,6,0,0,0,0,0,9,0,0,117
105300,Kauri,105300,Kauri,153,33,15,0,0,0,0,0,0,0,6,207
105400,Maungatapere,105400,Maungatapere,426,114,33,6,0,0,0,0,27,0,12,621
105500,Kamo West,105500,Kamo West,90,21,18,0,0,0,0,0,0,0,0,135
105600,Matapouri-Tutukaka,105600,Matapouri-Tutukaka,177,54,18,6,0,0,0,0,21,0,0,279
105700,Kiripaka,105700,Kiripaka,84,9,0,0,0,0,0,0,0,0,0,99
105800,Kamo East,105800,Kamo East,105,6,0,0,0,0,0,0,0,0,0,120
105900,Granfield Reserve,105900,Granfield Reserve,141,39,18,0,0,0,0,0,21,0,0,225
106000,Kamo Central,106000,Kamo Central,63,21,0,0,0,0,0,0,6,0,0,93
106100,Whau Valley,106100,Whau Valley,135,21,6,0,0,0,0,0,9,0,0,171
106200,Tikipunga North,106200,Tikipunga North,90,30,0,0,0,0,0,0,9,0,0,141
106300,Pukenui,106300,Pukenui,165,24,0,0,0,0,0,0,0,0,0,195
106400,Otangarei,106400,Otangarei,51,15,0,0,0,0,0,0,9,0,0,78
106500,Tikipunga South,106500,Tikipunga South,135,15,0,0,0,0,0,0,0,0,0,159
106600,Kensington (Whangarei District),106600,Kensington (Whangarei District),180,48,15,0,0,0,0,0,33,0,0,282
106700,Abbey Caves-Glenbervie,106700,Abbey Caves-Glenbervie,126,15,9,0,0,0,0,0,0,0,0,150
106800,Mairtown,106800,Mairtown,123,6,9,0,0,0,0,0,6,0,0,150
106900,Maunu-Horahora,106900,Maunu-Horahora,141,126,6,0,0,0,0,6,84,0,0,372
107000,Woodhill-Vinetown,107000,Woodhill-Vinetown,144,21,0,0,0,0,0,0,9,0,0,183
107100,Whangarei Central,107100,Whangarei Central,66,66,21,0,0,0,0,0,42,0,0,204
107200,Riverside,107200,Riverside,117,0,0,0,0,0,0,0,9,0,0,135
107300,Raumanga,107300,Raumanga,90,15,0,0,0,0,0,0,0,0,0,111
107400,Tarewa,107400,Tarewa,48,9,0,0,0,0,0,0,6,0,0,72
107500,Morningside (Whangarei District),107500,Morningside (Whangarei District),96,15,0,0,0,0,0,0,9,0,0,120
107600,Ngunguru,107600,Ngunguru,81,33,0,0,0,0,0,0,9,0,0,123
