OBJECTID,SA22018_V1_00,SA22018_V1_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,Age__life_cycle_groups_15_29_years_2006,Age__life_cycle_groups_30_64_years_2006,Age__life_cycle_groups_65_years_and_over_2006,Age__life_cycle_groups_total_2006,Age__life_cycle_groups_Under_15_years_2006,Age__life_cycle_groups_15_29_years_2013,Age__life_cycle_groups_30_64_years_2013,Age__life_cycle_groups_65_years_and_over_2013,Age__life_cycle_groups_total_2013,Age__life_cycle_groups_Under_15_years_2013,Age__life_cycle_groups_15_29_years_2018,Age__life_cycle_groups_30_64_years_2018,Age__life_cycle_groups_65_years_and_over_2018,Age__life_cycle_groups_total_2018,Age__life_cycle_groups_Under_15_years_2018,Pop_Total_2006,Pop_Total_2013,Pop_Total_2018,Age__life_cycle_groups_15_29_years_2013_2018_percentChange,Age__life_cycle_groups_30_64_years_2013_2018_percentChange,Age__life_cycle_groups_65_years_and_over_2013_2018_percentChange,Age__life_cycle_groups_total_2013_2018_percentChange,Age__life_cycle_groups_Under_15_years_2013_2018_percentChange
1,100100,North Cape,826.785122050000040,826.785122050000040,159,669,204,1338,306,156,639,294,1371,282,228,720,339,1602,315,1338,1371,1602,46.200000000000003,12.699999999999999,15.300000000000001,16.800000000000001,11.699999999999999
2,100200,Rangaunu Harbour,272.104053050000000,272.104053050000000,297,966,228,2010,519,324,918,288,2028,498,390,981,366,2310,570,2010,2028,2310,20.399999999999999,6.900000000000000,27.100000000000001,13.900000000000000,14.500000000000000
3,100300,Inlets Far North District,0.000000000000000,625.972753819999980,6,36,9,63,9,3,36,18,63,3,3,27,15,45,0,63,63,45,0.000000000000000,-25.000000000000000,-16.699999999999999,-28.600000000000001,-100.000000000000000
4,100400,Karikari Peninsula,174.180815910000010,174.180815910000010,93,501,165,942,183,147,546,234,1164,237,123,579,324,1251,225,942,1164,1251,-16.300000000000001,6.000000000000000,38.500000000000000,7.500000000000000,-5.100000000000000
5,100500,Tangonge,177.204342690000000,177.204342690000000,159,498,108,1041,276,162,543,138,1131,288,174,519,186,1134,252,1041,1131,1134,7.400000000000000,-4.400000000000000,34.799999999999997,0.300000000000000,-12.500000000000000
6,100600,Ahipara,4.529277500000000,4.529277500000000,198,495,126,1095,276,159,489,147,1032,234,204,564,195,1230,270,1095,1032,1230,28.300000000000001,15.300000000000001,32.700000000000003,19.199999999999999,15.400000000000000
7,100700,Kaitaia East,5.266310290000000,5.266310290000000,378,840,327,2130,585,366,792,336,1983,492,498,921,321,2388,651,2130,1983,2388,36.100000000000001,16.300000000000001,-4.500000000000000,20.399999999999999,32.299999999999997
8,100800,Kaitaia West,3.211850520000000,3.211850520000000,624,1092,507,3072,846,543,1050,558,2904,753,681,1275,588,3483,939,3072,2904,3483,25.399999999999999,21.399999999999999,5.400000000000000,19.899999999999999,24.699999999999999
9,100900,Rangitihi,84.660426619999996,84.660426619999996,102,417,93,810,198,114,393,129,819,183,168,417,156,936,195,810,819,936,47.399999999999999,6.100000000000000,20.899999999999999,14.300000000000001,6.600000000000000
10,101000,Oruru-Parapara,103.280727570000000,103.280727570000000,102,342,66,690,183,102,345,87,687,156,126,420,135,846,165,690,687,846,23.500000000000000,21.699999999999999,55.200000000000003,23.100000000000001,5.800000000000000
