AREA,MAINTRAVELEDUC,AGE,Value,Flags
999999,1,1,6090,
999999,2,1,0,
999999,3,1,394377,
999999,4,1,29280,
999999,5,1,146046,
999999,6,1,81105,
999999,7,1,17742,
999999,8,1,3885,
999999,9,1,198,
999999,10,1,8250,
100100,1,1,6,
100100,2,1,0,
100100,3,1,84,
100100,4,1,0,
100100,5,1,21,
100100,6,1,153,
100100,7,1,0,
100100,8,1,0,
100100,9,1,0,
100100,10,1,0,
100300,1,1,,c
100300,2,1,,c
100300,3,1,,c
100300,4,1,,c
100300,5,1,,c
100300,6,1,,c
100300,7,1,,c
100300,8,1,,c
100300,9,1,,c
100300,10,1,,c
100400,1,1,0,
100400,2,1,0,
100400,3,1,84,
100400,4,1,0,
100400,5,1,3,
100400,6,1,90,
100400,7,1,3,
100400,8,1,0,
100400,9,1,0,
100400,10,1,0,
100500,1,1,3,
100500,2,1,0,
100500,3,1,105,
100500,4,1,0,
100500,5,1,3,
100500,6,1,78,
100500,7,1,3,
100500,8,1,0,
100500,9,1,0,
100500,10,1,0,
100600,1,1,0,
100600,2,1,0,
100600,3,1,150,
100600,4,1,9,
100600,5,1,12,
100600,6,1,30,
100600,7,1,0,
100600,8,1,0,
100600,9,1,0,
100600,10,1,0,
100700,1,1,6,
100700,2,1,0,
100700,3,1,237,
100700,4,1,0,
100700,5,1,72,
100700,6,1,138,
100700,7,1,6,
100700,8,1,0,
100700,9,1,0,
100700,10,1,6,
100800,1,1,12,
100800,2,1,0,
100800,3,1,342,
100800,4,1,6,
100800,5,1,150,
100800,6,1,180,
100800,7,1,6,
100800,8,1,0,
100800,9,1,0,
100800,10,1,9,
101000,1,1,6,
101000,2,1,0,
101000,3,1,24,
101000,4,1,0,
101000,5,1,0,
101000,6,1,87,
101000,7,1,0,
101000,8,1,0,
101000,9,1,0,
101000,10,1,0,
101100,1,1,0,
101100,2,1,0,
101100,3,1,93,
101100,4,1,0,
101100,5,1,21,
101100,6,1,120,
101100,7,1,3,
101100,8,1,0,
101100,9,1,0,
101100,10,1,0,
101200,1,1,9,
101200,2,1,0,
101200,3,1,78,
101200,4,1,0,
101200,5,1,0,
101200,6,1,84,
101200,7,1,0,
101200,8,1,0,
101200,9,1,0,
101200,10,1,3,
101300,1,1,6,
101300,2,1,0,
101300,3,1,51,
101300,4,1,0,
101300,5,1,0,
101300,6,1,108,
101300,7,1,0,
101300,8,1,0,
101300,9,1,0,
101300,10,1,0,
101400,1,1,3,
101400,2,1,0,
101400,3,1,48,
101400,4,1,0,
101400,5,1,6,
101400,6,1,45,
101400,7,1,6,
101400,8,1,0,
101400,9,1,0,
101400,10,1,0,
101500,1,1,3,
101500,2,1,0,
101500,3,1,30,
101500,4,1,0,
101500,5,1,6,
101500,6,1,87,
101500,7,1,0,
101500,8,1,0,
101500,9,1,0,
101500,10,1,0,
101600,1,1,0,
101600,2,1,0,
101600,3,1,21,
101600,4,1,0,
101600,5,1,15,
101600,6,1,87,
101600,7,1,3,
101600,8,1,0,
101600,9,1,0,
101600,10,1,0,
101700,1,1,3,
101700,2,1,0,
101700,3,1,27,
101700,4,1,0,
101700,5,1,9,
101700,6,1,60,
101700,7,1,0,
101700,8,1,0,
101700,9,1,0,
101700,10,1,0,
101800,1,1,3,
101800,2,1,0,
101800,3,1,78,
101800,4,1,3,
101800,5,1,21,
101800,6,1,105,
101800,7,1,0,
101800,8,1,0,
101800,9,1,0,
101800,10,1,0,
101900,1,1,12,
101900,2,1,0,
101900,3,1,69,
101900,4,1,3,
101900,5,1,3,
101900,6,1,117,
101900,7,1,9,
101900,8,1,0,
101900,9,1,0,
101900,10,1,0,
102100,1,1,3,
102100,2,1,0,
102100,3,1,63,
102100,4,1,9,
102100,5,1,45,
102100,6,1,54,
102100,7,1,0,
102100,8,1,0,
