SA2_code_usual_residence_address,SA2_name_usual_residence_address,SA2_code_other_address,SA2_name_other_address,At_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,School_bus,Train,Bicycle,Walk_or_jog,Ferry,other,Total
100100,North Cape,100100,North Cape,171,117,33,54,0,60,0,0,33,0,6,477
100100,North Cape,100200,Rangaunu Harbour,0,30,9,0,0,0,0,0,0,0,0,42
100100,North Cape,100700,Kaitaia East,0,51,15,0,0,0,0,0,0,0,0,75
100100,North Cape,100800,Kaitaia West,0,24,0,6,0,63,0,0,0,0,0,102
100200,Rangaunu Harbour,100100,North Cape,0,9,0,0,0,0,0,0,0,0,0,24
100200,Rangaunu Harbour,100200,Rangaunu Harbour,264,93,24,57,0,42,0,0,12,0,0,501
100200,Rangaunu Harbour,100400,Karikari Peninsula,0,0,0,0,0,12,0,0,0,0,0,12
100200,Rangaunu Harbour,100500,Tangonge,0,18,0,0,0,0,0,0,0,0,0,21
100200,Rangaunu Harbour,100700,Kaitaia East,0,183,30,24,0,18,0,0,0,0,0,267
100200,Rangaunu Harbour,100800,Kaitaia West,0,81,6,45,0,78,0,0,0,0,0,219
100200,Rangaunu Harbour,100900,Rangitihi,0,9,0,0,0,12,0,0,0,0,0,30
100200,Rangaunu Harbour,101000,Oruru-Parapara,0,0,0,0,0,0,0,0,0,0,0,9
100200,Rangaunu Harbour,101100,Taumarumaru,0,9,6,0,0,0,0,0,0,0,0,18
100200,Rangaunu Harbour,103000,Kerikeri Central,0,12,0,0,0,0,0,0,0,0,0,15
100200,Rangaunu Harbour,103500,Kaikohe,0,9,0,0,0,0,0,0,0,0,0,9
100400,Karikari Peninsula,100200,Rangaunu Harbour,0,9,0,6,0,0,0,0,0,0,0,21
100400,Karikari Peninsula,100400,Karikari Peninsula,114,54,6,24,0,24,0,0,0,0,0,231
100400,Karikari Peninsula,100700,Kaitaia East,0,51,24,0,0,0,0,0,0,0,0,87
100400,Karikari Peninsula,100800,Kaitaia West,0,24,0,0,0,18,0,0,0,0,0,51
100400,Karikari Peninsula,100900,Rangitihi,0,6,0,0,0,0,0,0,0,0,0,6
100400,Karikari Peninsula,101100,Taumarumaru,0,21,6,6,0,12,0,0,0,0,0,45
100400,Karikari Peninsula,103000,Kerikeri Central,0,9,0,0,0,0,0,0,0,0,0,12
100500,Tangonge,100200,Rangaunu Harbour,0,9,0,0,0,0,0,0,0,0,0,18
100500,Tangonge,100400,Karikari Peninsula,0,0,0,0,0,0,0,0,0,0,0,9
100500,Tangonge,100500,Tangonge,138,30,9,12,0,15,0,0,0,0,0,213
100500,Tangonge,100600,Ahipara,0,6,0,6,0,0,0,0,0,0,0,12
100500,Tangonge,100700,Kaitaia East,0,120,21,12,0,9,0,0,0,0,0,162
100500,Tangonge,100800,Kaitaia West,0,57,0,33,0,45,0,0,0,0,0,144
100600,Ahipara,100200,Rangaunu Harbour,0,12,0,0,0,0,0,0,0,0,0,18
100600,Ahipara,100500,Tangonge,0,21,0,51,0,0,0,6,9,0,0,96
100600,Ahipara,100600,Ahipara,72,18,0,9,0,0,0,0,0,0,0,117
100600,Ahipara,100700,Kaitaia East,0,99,24,6,0,0,0,0,0,0,0,138
100600,Ahipara,100800,Kaitaia West,0,57,6,30,0,36,0,0,0,0,0,138
100600,Ahipara,101100,Taumarumaru,0,0,0,0,0,0,0,0,0,0,0,6
100700,Kaitaia East,100200,Rangaunu Harbour,0,18,9,6,0,12,0,0,0,0,0,48
100700,Kaitaia East,100500,Tangonge,0,15,0,0,0,0,0,0,0,0,0,27
100700,Kaitaia East,100700,Kaitaia East,147,180,36,51,0,27,0,0,57,0,0,513
100700,Kaitaia East,100800,Kaitaia West,0,60,0,84,0,6,0,0,42,0,0,204
100700,Kaitaia East,100900,Rangitihi,0,9,0,6,0,21,0,0,0,0,0,36
100700,Kaitaia East,102500,Waipapa,0,6,0,0,0,0,0,0,0,0,0,9
100700,Kaitaia East,103000,Kerikeri Central,0,0,0,0,0,0,0,0,0,0,0,9
100700,Kaitaia East,103500,Kaikohe,0,0,0,0,0,0,0,0,0,0,0,6
100800,Kaitaia West,100100,North Cape,0,9,0,0,0,0,0,0,0,0,0,12
100800,Kaitaia West,100200,Rangaunu Harbour,0,27,0,18,0,15,0,0,0,0,0,66
100800,Kaitaia West,100400,Karikari Peninsula,0,9,0,0,0,0,0,0,0,0,0,18
100800,Kaitaia West,100500,Tangonge,0,24,0,9,0,18,0,0,0,0,0,60
100800,Kaitaia West,100700,Kaitaia East,0,279,33,87,0,33,0,0,48,0,0,483
100800,Kaitaia West,100800,Kaitaia West,174,123,9,105,0,0,0,0,126,0,0,549
100800,Kaitaia West,100900,Rangitihi,0,6,0,9,0,24,0,0,0,0,0,45
100800,Kaitaia West,101000,Oruru-Parapara,0,6,0,0,0,0,0,0,0,0,0,6
100800,Kaitaia West,101100,Taumarumaru,0,0,0,0,0,0,0,0,0,0,0,6
100800,Kaitaia West,102500,Waipapa,0,12,0,0,0,0,0,0,0,0,0,21
100800,Kaitaia West,103000,Kerikeri Central,0,15,0,0,0,0,0,0,0,0,0,21
100800,Kaitaia West,103500,Kaikohe,0,6,0,0,0,0,0,0,0,0,0,9
100800,Kaitaia West,104600,Kawakawa,0,6,0,0,0,0,0,0,0,0,0,6
100800,Kaitaia West,107100,Whangarei Central,0,0,0,0,0,0,0,0,0,0,0,6
100900,Rangitihi,100200,Rangaunu Harbour,0,9,0,0,0,0,0,0,0,0,0,12
100900,Rangitihi,100500,Tangonge,0,9,0,0,0,9,0,0,0,0,0,24
100900,Rangitihi,100700,Kaitaia East,0,102,27,15,0,15,0,0,0,0,0,162
100900,Rangitihi,100800,Kaitaia West,0,42,0,24,0,30,0,0,0,0,0,105
100900,Rangitihi,100900,Rangitihi,108,12,0,6,0,15,0,0,0,0,0,147
100900,Rangitihi,101100,Taumarumaru,0,0,0,0,0,0,0,0,0,0,0,6
100900,Rangitihi,103000,Kerikeri Central,0,0,0,0,0,0,0,0,0,0,0,6
101000,Oruru-Parapara,100200,Rangaunu Harbour,0,0,0,0,0,0,0,0,0,0,0,9
101000,Oruru-Parapara,100700,Kaitaia East,0,21,0,0,0,0,0,0,0,0,0,33
101000,Oruru-Parapara,100800,Kaitaia West,0,18,0,0,0,18,0,0,0,0,0,45
101000,Oruru-Parapara,101000,Oruru-Parapara,93,15,0,0,0,0,0,0,0,0,0,117
101000,Oruru-Parapara,101100,Taumarumaru,0,45,9,15,0,33,0,0,0,0,0,111
101000,Oruru-Parapara,101400,Taemaro-Oruaiti,0,0,0,0,0,6,0,0,0,0,0,6
101000,Oruru-Parapara,103000,Kerikeri Central,0,0,0,0,0,0,0,0,0,0,0,6
101100,Taumarumaru,100200,Rangaunu Harbour,0,18,0,0,0,0,0,0,0,0,0,24
101100,Taumarumaru,100400,Karikari Peninsula,0,9,0,0,0,0,0,0,0,0,0,9
101100,Taumarumaru,100500,Tangonge,0,0,0,0,0,0,0,0,0,0,0,6
101100,Taumarumaru,100700,Kaitaia East,0,48,18,0,0,0,0,0,0,0,0,72
