AREA,MAINTRAVELWORK,AGE,Value,Flags
182900,1,2,12,
182900,3,2,36,
182900,4,2,9,
182900,5,2,0,
182900,7,2,0,
182900,9,2,3,
183000,1,2,3,
183000,3,2,30,
183000,4,2,3,
183000,5,2,3,
183000,7,2,0,
183000,9,2,3,
183100,1,2,24,
183100,3,2,42,
183100,4,2,3,
183100,5,2,3,
183100,7,2,0,
183100,9,2,3,
183200,1,2,3,
183200,3,2,579,
183200,4,2,45,
183200,5,2,75,
183200,7,2,3,
183200,9,2,15,
183300,1,2,12,
183300,3,2,138,
183300,4,2,36,
183300,5,2,18,
183300,7,2,0,
183300,9,2,3,
183400,1,2,9,
183400,3,2,18,
183400,4,2,6,
183400,5,2,3,
183400,7,2,0,
183400,9,2,3,
183500,1,2,12,
183500,3,2,99,
183500,4,2,12,
183500,5,2,3,
183500,7,2,0,
183500,9,2,0,
183600,1,2,18,
183600,3,2,51,
183600,4,2,6,
183600,5,2,6,
183600,7,2,0,
183600,9,2,3,
183700,1,2,15,
183700,3,2,12,
183700,4,2,0,
183700,5,2,3,
183700,7,2,0,
183700,9,2,0,
183800,1,2,21,
183800,3,2,18,
183800,4,2,6,
183800,5,2,3,
183800,7,2,0,
183800,9,2,0,
183900,1,2,12,
183900,3,2,24,
183900,4,2,3,
183900,5,2,6,
183900,7,2,0,
183900,9,2,0,
184000,1,2,12,
184000,3,2,30,
184000,4,2,9,
184000,5,2,3,
184000,7,2,0,
184000,9,2,0,
184100,1,2,3,
184100,3,2,369,
184100,4,2,42,
184100,5,2,54,
184100,7,2,0,
184100,9,2,6,
184200,1,2,27,
184200,3,2,93,
184200,4,2,3,
184200,5,2,18,
184200,7,2,0,
184200,9,2,0,
184300,1,2,9,
184300,3,2,18,
184300,4,2,3,
184300,5,2,3,
184300,7,2,0,
184300,9,2,3,
184400,1,2,12,
184400,3,2,39,
184400,4,2,6,
184400,5,2,3,
184400,7,2,0,
184400,9,2,0,
184500,1,2,0,
184500,3,2,12,
184500,4,2,3,
184500,5,2,3,
184500,7,2,0,
184500,9,2,0,
184600,1,2,36,
184600,3,2,48,
184600,4,2,6,
184600,5,2,6,
184600,7,2,0,
184600,9,2,0,
184700,1,2,12,
184700,3,2,15,
184700,4,2,3,
184700,5,2,0,
184700,7,2,0,
184700,9,2,0,
184800,1,2,21,
184800,3,2,30,
184800,4,2,9,
184800,5,2,3,
184800,7,2,0,
184800,9,2,0,
184900,1,2,18,
184900,3,2,51,
184900,4,2,6,
184900,5,2,0,
184900,7,2,0,
184900,9,2,9,
185000,1,2,36,
185000,3,2,6,
185000,4,2,3,
185000,5,2,3,
185000,7,2,0,
185000,9,2,0,
185100,1,2,,c
185100,3,2,,c
185100,4,2,,c
185100,5,2,,c
185100,7,2,,c
185100,9,2,,c
185200,1,2,18,
185200,3,2,3,
185200,4,2,0,
185200,5,2,0,
185200,7,2,0,
185200,9,2,0,
185300,1,2,42,
185300,3,2,21,
185300,4,2,6,
185300,5,2,0,
185300,7,2,0,
185300,9,2,0,
185400,1,2,36,
185400,3,2,18,
185400,4,2,0,
185400,5,2,0,
185400,7,2,0,
185400,9,2,0,
185500,1,2,15,
185500,3,2,204,
185500,4,2,24,
185500,5,2,33,
185500,7,2,0,
185500,9,2,3,
185600,1,2,69,
